posts,country
"إل يلهين من لغياد
اثلاث واعل عيين
الا سكين ول زاد
سكين ول سكين",Mauritania
"لا تتكلم فاعراض الناس 
                            يسو شفت اعليه دليل 
عظ السانك تم الا عاس 
                       من عرض الناس ؤ تم اذليل",Mauritania
"يَالـرِّيــمْ احْـــنَ تَــعَـــدُّدْنَ........لِلــزَّوْجَــاتْ اِلَـيْـــنْ الْـعِــدْنَ..
يَالـرِّيــمْ وْحَــدْنَ وِاگْـعَــدْنَ........لَا يَــخِـلْــعِــكْ ذَاكْ اِشَـــاعَ..
وِانْـتى گَــاعْ أَمَّــالِكْ مَـثْـنَ.........وَثُــــــــلَاثَ وَرُبَــــــــــــاعَ..",Mauritania
"يــلالــك يــان يـلالـك@ممتن ليعه سكنت بالك
من حد ازوين ؤيزهالك@فالباديه فايدُ ليَّ 
گذّ گذّ يــنــعتهالك@واتموت انت يحسن في",Mauritania
"ﻳﺎ ﺭﺑﻲ ﻣﻦ ﺑﺎﺏ ﺍﻟﺘﻮﺑـه .. ﺩﺧﻠﻨـى ﻭﺍﺣﺴﻦ لعگوبَه
ﺑﺎعگوبَه ﺗﺸﺮﺡ لگلوبَه .. ﻣﺪﻳﻮﺭه ﻓﻴﻚ ؤﻣﻄﻤﻮعَه
ﻫﺬﺍ ﻣﻦ ﺻﻠﻮه ﻣﻜﺘﻮﺑـه .. ﻭﻏﺪﺕ ﻣﺎ ﻛﻨﺖ اﻟﻬﺎ ﻧﻮﻋـَﻪ
ﻭﻫﺬﺍ ﻣﻦ ﺳﺎﻋـه ﻣﺸﺮﻭﺑـه .. ﻓﺎﻟﺼﻮﻡ ﺍﺣﺮﺍﻡ ؤﻣﻤﻨﻮﻋﺔ
ﻭﻫﺬﺍ ﻣﻦ ﺳﺎﻋـه ﻣﺨﺮﻭبَه .. ﻣﻦ ﻟﻌﻤﺮ ﻣﺎهِ ﻣﺮﺟﻮﻋـه… See more",Mauritania
أحلام البساتية is with يحي ولد اخليفه.,Mauritania
"ثقلة عوداني يالشفاع//من شدت لسقام ؤلوجاع 
الجابر،وانواع التلياع//بايت ماقمظو عيني 
كاعد فالكهو تحت اشعاع//الكمره،والبيه انيه 
راهو مسكين اص كاع//ينفخ شدكو في البادية",Mauritania
Barikalla Deddah,Mauritania
"جرَّبت امعاك ابهاك == الصحْبَ وخْسر ذاك
وغْلبنِ يالنهواك == انديرك فصحابِ
وغلبن زاد امعاك == انعود اعْلَ بابِ
Barikalla Deddah",Mauritania
مولاي علي مولاي علي,Mauritania
"تِكِنْتْ و تِكِنْدْ و لِكْرَاعْ             بَلْ أهلِ و الخَوّارَ كَاعْ
انْجِيهم كِنْتْ ابْلِتِسَاعْ             وُانْجِ لَهِلْ مُولاَيْ اعْلِ
ؤ بِيرْ السَّعَاد… See more",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
"أهل الشرك اوذَ ماهو سرْ 
           وهل الكبل ماني جاحد
عني نبغيهم فبلد فر
          ونْهم عندي كامل واحد
                              Barikalla Deddah",Mauritania
"الموزعي
اعطينا خير إل يصرك
أموال الشعب أعل بشور
ؤ برام اداه وحزب الرك
ؤ عزيز ومسعود ومنصور",Mauritania
"عالم مولان ال ون # منش حك ابذ البالكن
ومجنن ومزدحن# ولي من غيدات التشهار
عزتها حك اتفخرن# كل انهار اور كل انهار
ذل بلكتن ماه مين#  ول كتلتن بالتفخار
منت المختار اميلمنين# اميلمنين منت المختار",Mauritania
"محلف فاللجن    عن حد اجلجن
ومحلف مانجن    من موجود ابنيت
وعازم عني نهن    ولا نوخظ تيكيت
غير اليوم افمله     وحد فتنوكيت
يسمحل كلت اله    انت ذيك احصيت",Mauritania
"إل يلهين من لغياد
اثلاث واعل عيين
الا سكين ول زاد
سكين ول سكين",Mauritania
"لا تتكلم فاعراض الناس 
                            يسو شفت اعليه دليل 
عظ السانك تم الا عاس 
                       من عرض الناس ؤ تم اذليل",Mauritania
"يَالـرِّيــمْ احْـــنَ تَــعَـــدُّدْنَ........لِلــزَّوْجَــاتْ اِلَـيْـــنْ الْـعِــدْنَ..
يَالـرِّيــمْ وْحَــدْنَ وِاگْـعَــدْنَ........لَا يَــخِـلْــعِــكْ ذَاكْ اِشَـــاعَ..
وِانْـتى گَــاعْ أَمَّــالِكْ مَـثْـنَ.........وَثُــــــــلَاثَ وَرُبَــــــــــــاعَ..",Mauritania
"يــلالــك يــان يـلالـك@ممتن ليعه سكنت بالك
من حد ازوين ؤيزهالك@فالباديه فايدُ ليَّ 
گذّ گذّ يــنــعتهالك@واتموت انت يحسن في",Mauritania
"ﻳﺎ ﺭﺑﻲ ﻣﻦ ﺑﺎﺏ ﺍﻟﺘﻮﺑـه .. ﺩﺧﻠﻨـى ﻭﺍﺣﺴﻦ لعگوبَه
ﺑﺎعگوبَه ﺗﺸﺮﺡ لگلوبَه .. ﻣﺪﻳﻮﺭه ﻓﻴﻚ ؤﻣﻄﻤﻮعَه
ﻫﺬﺍ ﻣﻦ ﺻﻠﻮه ﻣﻜﺘﻮﺑـه .. ﻭﻏﺪﺕ ﻣﺎ ﻛﻨﺖ اﻟﻬﺎ ﻧﻮﻋـَﻪ
ﻭﻫﺬﺍ ﻣﻦ ﺳﺎﻋـه ﻣﺸﺮﻭﺑـه .. ﻓﺎﻟﺼﻮﻡ ﺍﺣﺮﺍﻡ ؤﻣﻤﻨﻮﻋﺔ
ﻭﻫﺬﺍ ﻣﻦ ﺳﺎﻋـه ﻣﺨﺮﻭبَه .. ﻣﻦ ﻟﻌﻤﺮ ﻣﺎهِ ﻣﺮﺟﻮﻋـه… See more",Mauritania
أحلام البساتية is with يحي ولد اخليفه.,Mauritania
"ثقلة عوداني يالشفاع//من شدت لسقام ؤلوجاع 
الجابر،وانواع التلياع//بايت ماقمظو عيني 
كاعد فالكهو تحت اشعاع//الكمره،والبيه انيه 
راهو مسكين اص كاع//ينفخ شدكو في البادية",Mauritania
Barikalla Deddah,Mauritania
"جرَّبت امعاك ابهاك == الصحْبَ وخْسر ذاك
وغْلبنِ يالنهواك == انديرك فصحابِ
وغلبن زاد امعاك == انعود اعْلَ بابِ
Barikalla Deddah",Mauritania
مولاي علي مولاي علي,Mauritania
"تِكِنْتْ و تِكِنْدْ و لِكْرَاعْ             بَلْ أهلِ و الخَوّارَ كَاعْ
انْجِيهم كِنْتْ ابْلِتِسَاعْ             وُانْجِ لَهِلْ مُولاَيْ اعْلِ
ؤ بِيرْ السَّعَاد… See more",Mauritania
"افعالك واسيه ملس
                     واقوالك فيه لا تكس
وارع تسه ولل تنس 
                   عن ش كامل فيه امروتك 
وامش بين اللين ؤ لكس… See more",Mauritania
"خبر الوتَ فاليظهلِّ
                   ذاك الواس فيه الشاعر
واعر ،والنايب ذاك الِّ
                    واس فيه املي واعر
باركلل دداه",Mauritania
"غيدات اليوم امفـرطات 
                         املاحف گاز الساترات
تركـوهم عـنهم كـاملات 
                          كِـيـف الـنـيـله لَـصـيـلَ… See more",Mauritania
"شَيْخِى منْ  شِدِتْ  تِعٌدالُو
                                     حِسَادُ كِسْحُو واستحفاوْ
مَـــايگبظهم بلِِ         گآلُو
                                   ؤُلآيگبظهم بلِ       وَسَاوْ… See more",Mauritania
"امنيْنْْ انديوَنْتْ العراد
                  تنجابْ الها يزيان العيد
وامنين الماتجبرها زاد
                ويلْ العيدْ ويْلْ امسيْعيدْ",Mauritania
"تَمْ اتعامَه     وْاسْمحْ
                                     واْبْعِدْ شِ مايَصْلحْ
والشيطان الى شَح
                                   راغ ادخولك صوعُ
 يم ايگد    آيگسـحٌ… See more",Mauritania
"ساعت طب التـلياع
                        منفکعـه ماتشـــــناعْ
بيـــهَ زيـن التـــفکاع
                        اعـليـه والتصْـــکـاك
ءساعتهَ تظحك كاع… See more",Mauritania
"نبغي نگبظ دبوس
                        للخلق الِّ مهووس
من گولانو مدحوس
                         وامسبب لي لارهاق… See more",Mauritania
"انبينَ من سغرو بوصاف 
                        الـــنبوَّ كْـــام ابلَصــــناف
واستبشَر ما فيها خـلاف 
                        امْنَينْ انجابْ الحلــيمه
واتبسَّمْ، يسعد الِّ شاف… See more",Mauritania
"نعـــرَفْ کنـــت ازْمَان امغنّین 
                              اترد الغَیْثْ امـــنْ اتْبیْظِین
ولا تَسْمَعْ منْ وَاحدْ شی شینْ 
                               ولا یبرکْ مقصد کان افحدْ
وکانْ اخلگ مقصَدْ بیْنْ اثْنَــیْنْ … See more",Mauritania
"اتــظل افلمّاجع واتــروح 
                             افـــلمَّـــاجــع ماعِلْمِـتْ روح
مزدوف افلماجع مطروح 
                           وامْرَكْ عن ظاهرتُ مصروف 
كل ابلد منّكْ عاد اجروح … See more",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
"خبر الوتَ فاليظهلِّ
                   ذاك الواس فيه الشاعر
واعر ،والنايب ذاك الِّ
                    واس فيه املي واعر
باركلل دداه",Mauritania
"غيدات اليوم امفـرطات 
                         املاحف گاز الساترات
تركـوهم عـنهم كـاملات 
                          كِـيـف الـنـيـله لَـصـيـلَ… See more",Mauritania
"شَيْخِى منْ  شِدِتْ  تِعٌدالُو
                                     حِسَادُ كِسْحُو واستحفاوْ
مَـــايگبظهم بلِِ         گآلُو
                                   ؤُلآيگبظهم بلِ       وَسَاوْ… See more",Mauritania
"امنيْنْْ انديوَنْتْ العراد
                  تنجابْ الها يزيان العيد
وامنين الماتجبرها زاد
                ويلْ العيدْ ويْلْ امسيْعيدْ",Mauritania
"تَمْ اتعامَه     وْاسْمحْ
                                     واْبْعِدْ شِ مايَصْلحْ
والشيطان الى شَح
                                   راغ ادخولك صوعُ
 يم ايگد    آيگسـحٌ… See more",Mauritania
"ساعت طب التـلياع
                        منفکعـه ماتشـــــناعْ
بيـــهَ زيـن التـــفکاع
                        اعـليـه والتصْـــکـاك
ءساعتهَ تظحك كاع… See more",Mauritania
"نبغي نگبظ دبوس
                        للخلق الِّ مهووس
من گولانو مدحوس
                         وامسبب لي لارهاق… See more",Mauritania
"انبينَ من سغرو بوصاف 
                        الـــنبوَّ كْـــام ابلَصــــناف
واستبشَر ما فيها خـلاف 
                        امْنَينْ انجابْ الحلــيمه
واتبسَّمْ، يسعد الِّ شاف… See more",Mauritania
"نعـــرَفْ کنـــت ازْمَان امغنّین 
                              اترد الغَیْثْ امـــنْ اتْبیْظِین
ولا تَسْمَعْ منْ وَاحدْ شی شینْ 
                               ولا یبرکْ مقصد کان افحدْ
وکانْ اخلگ مقصَدْ بیْنْ اثْنَــیْنْ … See more",Mauritania
"اتــظل افلمّاجع واتــروح 
                             افـــلمَّـــاجــع ماعِلْمِـتْ روح
مزدوف افلماجع مطروح 
                           وامْرَكْ عن ظاهرتُ مصروف 
كل ابلد منّكْ عاد اجروح … See more",Mauritania
"ماهِ گاع امبد  سلِّ
                    ؤ لاهو رد اسلام املِّ
أتوف، الا ذ گد اللِّ
                      موري منك يالفرايَ   
مُرِّ لخاظت تحجل… See more",Mauritania
"ملعينين الا نسمع بيه
                       عنُّ متعدلْ ول اييه
وانباركلُ ذاك الِّ فيه
                        عاد، ؤتغيير المواقع
يعط تجريبه لهاليه… See more",Mauritania
"لعليب آن نعرف بــــلُ  
                            بل مان كَابل نسميه
بي خايف من يفطن لُ  
                            حد ؤرايَ وإتم إجيه",Mauritania
"اغفـرلي يالشڪـــــور 
                         عزبـان افذو لڪصـور 
فيهم غيدات اعصـور 
                          يمشـو فَالســـــدارَ 
بين التنطـق بشـــور… See more",Mauritania
"باشْ اعرفت انك ماهْ اصديگ
                              يالريم اوعزك لِ خيالْ
گمتِ وگلبتيلِ بالظيگ 
                              الحزم المعلومْ أعظّالْ
رگگتينِ ما كنت ارگيگ  … See more",Mauritania
"تو امنينْ امشيتِ 
                  امشينَ يخيتِ
واعگبتِ   وليتِ
                   ولينَ  راعينَ
ما  فتِ  وسيتِ … See more",Mauritania
"اوگفت انا و انت لثنين
                             گلتيلِ شي فيه أكتيلِ
  واعدِ بيك ألا عند أمنين
                               گلتيلِ  ذاك   الگلتيلِ… See more",Mauritania
"مندرت يمنين أعدل
                  شعار الحزب وعاد اعليه
ولد أييه و لسم أبدل
                 يكان اسم هذا حاظيه… See more",Mauritania
"البــارح بايت منشفـــر
                           من فضيلة ولليلة
عكبت كطعتني فالظهر
                          وامطليش أُلعديله
المصطفى ولد ادو",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
"اتــظل افلمّاجع واتــروح 
                             افـــلمَّـــاجــع ماعِلْمِـتْ روح
مزدوف افلماجع مطروح 
                           وامْرَكْ عن ظاهرتُ مصروف 
كل ابلد منّكْ عاد اجروح … See more",Mauritania
"ماهِ گاع امبد  سلِّ
                    ؤ لاهو رد اسلام املِّ
أتوف، الا ذ گد اللِّ
                      موري منك يالفرايَ   
مُرِّ لخاظت تحجل… See more",Mauritania
"ملعينين الا نسمع بيه
                       عنُّ متعدلْ ول اييه
وانباركلُ ذاك الِّ فيه
                        عاد، ؤتغيير المواقع
يعط تجريبه لهاليه… See more",Mauritania
"لعليب آن نعرف بــــلُ  
                            بل مان كَابل نسميه
بي خايف من يفطن لُ  
                            حد ؤرايَ وإتم إجيه",Mauritania
"اغفـرلي يالشڪـــــور 
                         عزبـان افذو لڪصـور 
فيهم غيدات اعصـور 
                          يمشـو فَالســـــدارَ 
بين التنطـق بشـــور… See more",Mauritania
"باشْ اعرفت انك ماهْ اصديگ
                              يالريم اوعزك لِ خيالْ
گمتِ وگلبتيلِ بالظيگ 
                              الحزم المعلومْ أعظّالْ
رگگتينِ ما كنت ارگيگ  … See more",Mauritania
"تو امنينْ امشيتِ 
                  امشينَ يخيتِ
واعگبتِ   وليتِ
                   ولينَ  راعينَ
ما  فتِ  وسيتِ … See more",Mauritania
"اوگفت انا و انت لثنين
                             گلتيلِ شي فيه أكتيلِ
  واعدِ بيك ألا عند أمنين
                               گلتيلِ  ذاك   الگلتيلِ… See more",Mauritania
"مندرت يمنين أعدل
                  شعار الحزب وعاد اعليه
ولد أييه و لسم أبدل
                 يكان اسم هذا حاظيه… See more",Mauritania
"البــارح بايت منشفـــر
                           من فضيلة ولليلة
عكبت كطعتني فالظهر
                          وامطليش أُلعديله
المصطفى ولد ادو",Mauritania
"آَن وأغْـلَ غِيـدْ اللّامــة 
                     سَـابَگْ لاَمتنَـة لاَمتنَـــــة
أو لاَمتنَـة لا عَـدْن لاَمَـة
                    أوْ عَاگـبْ لاَمتنَـة لاَمتنَـة",Mauritania
"ساخيلك يالنختير
                     سيدى بعد ابمالُ
ولاهو خالك يغير
                     إنما الأعمالُ… See more",Mauritania
"هـذا ظـرك اتـف بـيه  
                      من گلتـ حد إجيه
مسـاج امـن الْيلهيه  
                      واسو فأي اوقاتو
والخلق الي خاطيه   … See more",Mauritania
"برحت لولة بالذات 
                اتعسرا لي لمبات
و توگظت فمرات
               عيني ما شافت نوم
غير اليوم و ذا فات … See more",Mauritania
"الريم   إلي   نختير 
                      بافراريها    يغير  
اشعر من غيد الدير  
                   واس اتكول الها وث
وللسير اتكول الثير … See more",Mauritania
"من كفان منت أكان..
شَاعِرْ هَوْلُ زَيْنْ ءُ جَ بِيهْ 
                       الكُمْبَانْ ادَّوَرْ كُمْبَانْ
بِالْهَوْلْ إِلِّ زَيْنْ اتْخَلِّيهْ… See more",Mauritania
"لين اتشوف اركََاج ابهاك
                      امكونكتي مره ما جاك
من عندو مساج ويملاك 
                      شيطانك لين اترف اعليه 
وتفتح بل اتشتيه امعاك … See more",Mauritania
"نَخْتيرْ اظريكْ انعود آنَ
                  كيفتْ تلفون اغلانَ
كل انهار اتظل احذانَ
                  فيدين ال منها ممكون
اتْشاَتي هي وفلانَ… See more",Mauritania
"سليمان  أنهار  أص  فم  
                       جابر عند المفوض كم 
شي خالك ماني عرف خم 
                     أثنعشر طون اسمعت أنو
وأسمعت   أثلاثين   أتكدم … See more",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
"اوگفت انا و انت لثنين
                             گلتيلِ شي فيه أكتيلِ
  واعدِ بيك ألا عند أمنين
                               گلتيلِ  ذاك   الگلتيلِ… See more",Mauritania
"مندرت يمنين أعدل
                  شعار الحزب وعاد اعليه
ولد أييه و لسم أبدل
                 يكان اسم هذا حاظيه… See more",Mauritania
"البــارح بايت منشفـــر
                           من فضيلة ولليلة
عكبت كطعتني فالظهر
                          وامطليش أُلعديله
المصطفى ولد ادو",Mauritania
"آَن وأغْـلَ غِيـدْ اللّامــة 
                     سَـابَگْ لاَمتنَـة لاَمتنَـــــة
أو لاَمتنَـة لا عَـدْن لاَمَـة
                    أوْ عَاگـبْ لاَمتنَـة لاَمتنَـة",Mauritania
"ساخيلك يالنختير
                     سيدى بعد ابمالُ
ولاهو خالك يغير
                     إنما الأعمالُ… See more",Mauritania
"هـذا ظـرك اتـف بـيه  
                      من گلتـ حد إجيه
مسـاج امـن الْيلهيه  
                      واسو فأي اوقاتو
والخلق الي خاطيه   … See more",Mauritania
"برحت لولة بالذات 
                اتعسرا لي لمبات
و توگظت فمرات
               عيني ما شافت نوم
غير اليوم و ذا فات … See more",Mauritania
"الريم   إلي   نختير 
                      بافراريها    يغير  
اشعر من غيد الدير  
                   واس اتكول الها وث
وللسير اتكول الثير … See more",Mauritania
"من كفان منت أكان..
شَاعِرْ هَوْلُ زَيْنْ ءُ جَ بِيهْ 
                       الكُمْبَانْ ادَّوَرْ كُمْبَانْ
بِالْهَوْلْ إِلِّ زَيْنْ اتْخَلِّيهْ… See more",Mauritania
"لين اتشوف اركََاج ابهاك
                      امكونكتي مره ما جاك
من عندو مساج ويملاك 
                      شيطانك لين اترف اعليه 
وتفتح بل اتشتيه امعاك … See more",Mauritania
"نَخْتيرْ اظريكْ انعود آنَ
                  كيفتْ تلفون اغلانَ
كل انهار اتظل احذانَ
                  فيدين ال منها ممكون
اتْشاَتي هي وفلانَ… See more",Mauritania
"سليمان  أنهار  أص  فم  
                       جابر عند المفوض كم 
شي خالك ماني عرف خم 
                     أثنعشر طون اسمعت أنو
وأسمعت   أثلاثين   أتكدم … See more",Mauritania
"انديونتي مـاني ذ العيــد  
                         ساڪت عنه يعز الغيد 
ماني ڪابل ذاك اتمرميد  
                         اتليت انتي بيه اسمعتي
مانك لاهِ ذ العيد ابعيـد  … See more",Mauritania
"ذيڪ الڪوم ولا فيها ڪول 
                         من هولڪ عادت منهـانَ
والڪوم اللي منڪ فالهـــول 
                             منهـانَ لول منـــه آن!!  … See more",Mauritania
"أتاي والمختبرات الوطنية
لا تكَْبلْ تمشي ما مَضِّيــــتْ 
                         وقــتْ اتايْ و تيَّيْتْ و ريْـتْ 
حدْ ايلا فـــتْ ايــلَ تيَّيْـــتْ … See more",Mauritania
"لا كلتيلِ كول اطليع
                    ولل كلتيلِ كول اكويف
نبكالك من حر الليع
                      مانتنفس ماهو بالسيف
ولد ملاي عل",Mauritania
ذاك كاف,Mauritania
سيد احمد الغيلاشي,Mauritania
"البارح ريت احزيم الريم ....انصلي فوقيت انصلي 
وانصلي ياسر من لحزيم......انصلي ماكط انصلي
طاب مسائكم احبتي",Mauritania
"ملك منت اهل الشيخ الباك
                        والتاح اعل زر إل فر
غير ال لاه تجبر لخلاك
                       منو كد انتفاه ايكر
كل انهار اظل أرياظ… See more",Mauritania
"لنوب عت ولاهي جر
               وكيل الدوله مايسطر
فالدشر سارك لص أحمر
               ماجَ في الحبس افذاك الحين
ماينفع فيها حد احظر… See more",Mauritania
"گلتْ البارحْ طلعَ واليومْ 
                         گمتْ امشاركهَ فالعمومْ 
وأحكمهَ حدْ اثرُو معلومْ 
                          انْخــرصْ لــسمِ مارگها
واســمُ فيها ماهُ مــلْمومْ … See more",Mauritania
"نوكف وكتن لوكوف اشحيح
                  ونج طايح تو اوكوف
ولذان نوكف ونطيح
                  من جميله منت الصوف",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
"نَخْتيرْ اظريكْ انعود آنَ
                  كيفتْ تلفون اغلانَ
كل انهار اتظل احذانَ
                  فيدين ال منها ممكون
اتْشاَتي هي وفلانَ… See more",Mauritania
"سليمان  أنهار  أص  فم  
                       جابر عند المفوض كم 
شي خالك ماني عرف خم 
                     أثنعشر طون اسمعت أنو
وأسمعت   أثلاثين   أتكدم … See more",Mauritania
"انديونتي مـاني ذ العيــد  
                         ساڪت عنه يعز الغيد 
ماني ڪابل ذاك اتمرميد  
                         اتليت انتي بيه اسمعتي
مانك لاهِ ذ العيد ابعيـد  … See more",Mauritania
"ذيڪ الڪوم ولا فيها ڪول 
                         من هولڪ عادت منهـانَ
والڪوم اللي منڪ فالهـــول 
                             منهـانَ لول منـــه آن!!  … See more",Mauritania
"أتاي والمختبرات الوطنية
لا تكَْبلْ تمشي ما مَضِّيــــتْ 
                         وقــتْ اتايْ و تيَّيْتْ و ريْـتْ 
حدْ ايلا فـــتْ ايــلَ تيَّيْـــتْ … See more",Mauritania
"لا كلتيلِ كول اطليع
                    ولل كلتيلِ كول اكويف
نبكالك من حر الليع
                      مانتنفس ماهو بالسيف
ولد ملاي عل",Mauritania
ذاك كاف,Mauritania
سيد احمد الغيلاشي,Mauritania
"البارح ريت احزيم الريم ....انصلي فوقيت انصلي 
وانصلي ياسر من لحزيم......انصلي ماكط انصلي
طاب مسائكم احبتي",Mauritania
"ملك منت اهل الشيخ الباك
                        والتاح اعل زر إل فر
غير ال لاه تجبر لخلاك
                       منو كد انتفاه ايكر
كل انهار اظل أرياظ… See more",Mauritania
"لنوب عت ولاهي جر
               وكيل الدوله مايسطر
فالدشر سارك لص أحمر
               ماجَ في الحبس افذاك الحين
ماينفع فيها حد احظر… See more",Mauritania
"گلتْ البارحْ طلعَ واليومْ 
                         گمتْ امشاركهَ فالعمومْ 
وأحكمهَ حدْ اثرُو معلومْ 
                          انْخــرصْ لــسمِ مارگها
واســمُ فيها ماهُ مــلْمومْ … See more",Mauritania
"نوكف وكتن لوكوف اشحيح
                  ونج طايح تو اوكوف
ولذان نوكف ونطيح
                  من جميله منت الصوف",Mauritania
"معط وجهك و اكفاك ايكر
                    وايكر الزر وافذاك انذر
ومع ذ كامل  شفتك فر
                        كيفلي عني منكرف
غير احمت العليم وسر… See more",Mauritania
سأقوم الآن بحذف الأصدقاء الذين لا يتفاعلون مع منشوراتنا و سنقبل بعض الطلبات الجديدة,Mauritania
زين حت,Mauritania
"عَجِيب اللا تميت الين
                         اسمعت امرة والل ثنتين
اكولو فالرد الوحدين 
                         مذكورة جليت اتخلاتْ… See more",Mauritania
"تشواشِ ماكط جانِ
                  عن كدو منكوصْ
واطرالِ تشواش ثانِ
                  ماه ذاك ايحوصْ… See more",Mauritania
سيد احمد الغيلاشي,Mauritania
"أَحْ! اِيْجِيكْ اَحْمَدْ مَانَجْحَدْ == والشَّيْخْ اِيْجِيكْ اِدَوْرْ الرَّدْ
اِيْجُوكْ  اجْمَاعَة  يَالنَّقْصَدْ  ==  وِاِيْجُوكْ   اِمَّلِّ   مفْتَرْكِينْ
ؤُم… See more",Mauritania
اطار,Mauritania
"Lives in Nouakchott, Mauritania",Mauritania
From Rosso,Mauritania
,Mauritania
,Mauritania
,Mauritania
,Mauritania
